Food Name,Location,Section,Calories,Total Fat,Total Carbohydrates,Protein,Sodium,Vegan,Vegetarian,Made Without Gluten,Halal,Organic
Diced Pineapple,Top of Lenoir,SALAD BAR,35.0,0.0,9.0,1.0,0.0,True,True,True,True,False
Honeydew Melon,Top of Lenoir,SALAD BAR,40.0,0.0,10.0,1.0,20.0,True,True,True,True,False
Cantaloupe,Top of Lenoir,SALAD BAR,25.0,0.0,7.0,0.67,15.0,True,True,True,False,False
Frosted Flakes®,Top of Lenoir,CEREAL,170.0,0.0,42.0,3.0,190.0,False,True,False,False,False
Oats and Honey Granola,Top of Lenoir,CEREAL,270.0,7.0,46.0,6.0,55.0,False,True,True,False,False
Cinnamon Toast Crunch™,Top of Lenoir,CEREAL,120.0,2.5,23.0,0.91,200.0,False,True,False,False,False
Apple Jacks,Top of Lenoir,CEREAL,110.0,1.0,23.0,0.0,170.0,False,True,False,False,False
Lucky Charms™,Top of Lenoir,CEREAL,110.0,1.0,22.0,2.0,170.0,False,False,True,False,False
Cheerios™,Top of Lenoir,CEREAL,80.0,1.0,16.0,3.0,100.0,False,True,True,False,False
Golden Grahams,Top of Lenoir,CEREAL,110.0,1.0,26.0,2.0,240.0,False,False,False,False,False
Frosted Mini Wheats,Top of Lenoir,CEREAL,140.0,0.5,33.0,4.0,0.0,False,False,False,False,False
Wheat Bread Slice,Top of Lenoir,BREADS AND BAGELS,100.0,3.0,15.0,3.0,170.0,True,True,False,False,False
White Bread,Top of Lenoir,BREADS AND BAGELS,100.0,2.5,16.0,3.0,190.0,True,True,False,False,False
Multigrain Bagel,Top of Lenoir,BREADS AND BAGELS,270.0,2.0,56.0,11.0,580.0,True,True,False,True,False
Blueberry Bagel,Top of Lenoir,BREADS AND BAGELS,290.0,0.0,61.0,9.0,530.0,True,True,False,True,False
Poppy Seed Bagel,Top of Lenoir,BREADS AND BAGELS,290.0,0.5,59.0,10.0,560.0,True,True,False,True,False
Sesame Bagel,Top of Lenoir,BREADS AND BAGELS,290.0,0.5,59.0,10.0,570.0,True,True,False,True,False
Whole Wheat Bagel,Top of Lenoir,BREADS AND BAGELS,280.0,0.0,58.0,9.0,580.0,True,True,False,True,False
Everything Bagel,Top of Lenoir,BREADS AND BAGELS,290.0,0.0,59.0,10.0,580.0,True,True,False,True,False
French Toast Bagel,Top of Lenoir,BREADS AND BAGELS,280.0,0.0,59.0,9.0,600.0,True,True,False,True,False
Cinnamon Raisin Bagel,Top of Lenoir,BREADS AND BAGELS,290.0,0.0,60.0,9.0,540.0,True,True,False,True,False
Cheddar Jalapeno Bagel,Top of Lenoir,BREADS AND BAGELS,290.0,1.5,62.0,10.0,580.0,False,True,False,False,False
Plain Bagel,Top of Lenoir,BREADS AND BAGELS,290.0,0.0,59.0,10.0,590.0,True,True,False,True,False
Bob's Red Mill® Gluten Free Oats,Top of Lenoir,STRESS LESS CABINET,210.0,5.0,33.0,7.0,160.0,True,True,True,False,False
Bob's Red Mill® GF Apple & Cinnamon Oats,Top of Lenoir,STRESS LESS CABINET,270.0,5.0,48.0,7.0,310.0,True,True,True,True,False
Dolci di Maria Carrot Cake,Top of Lenoir,STRESS LESS CABINET,500.0,24.0,72.0,2.0,430.0,True,True,True,False,False
Katz® Cinnamon Donut Holes,Top of Lenoir,STRESS LESS CABINET,110.0,5.0,15.0,0.99,150.0,False,True,True,False,False
Katz® Glazed Donut Holes,Top of Lenoir,STRESS LESS CABINET,130.0,8.0,15.0,1.0,135.0,False,True,True,False,False
Katz® Powdered Donut Holes,Top of Lenoir,STRESS LESS CABINET,170.0,10.0,19.0,1.0,160.0,False,True,True,False,False
Kinnikinnick® Cinnamon Sugar Donuts,Top of Lenoir,STRESS LESS CABINET,180.0,7.0,29.0,2.0,220.0,False,True,True,False,False
Kinnikinnick® Vanilla Glazed Donuts,Top of Lenoir,STRESS LESS CABINET,210.0,6.0,37.0,2.0,200.0,False,True,True,False,False
MadeGood® Soft Baked Chocolate Chip Cookie,Top of Lenoir,STRESS LESS CABINET,120.0,6.0,14.0,1.0,65.0,True,True,True,False,False
MadeGood® Soft Baked Double Chocolate Cookies,Top of Lenoir,STRESS LESS CABINET,120.0,6.0,14.0,1.0,0.0,True,True,True,False,False
MadeGood® Vanilla Crispy Squares,Top of Lenoir,STRESS LESS CABINET,80.0,1.0,18.0,1.0,100.0,True,True,True,False,False
O'Doughs® Everything Bagel,Top of Lenoir,STRESS LESS CABINET,200.0,4.5,38.0,4.0,530.0,True,True,True,False,False
O'Doughs® Multigrain Sandwich Slices,Top of Lenoir,STRESS LESS CABINET,160.0,2.0,33.0,3.0,340.0,True,True,True,False,False
O'Doughs® Original Bagel,Top of Lenoir,STRESS LESS CABINET,200.0,2.5,37.0,4.0,380.0,True,True,True,False,False
O'Doughs® Original Sandwich Slices,Top of Lenoir,STRESS LESS CABINET,160.0,2.0,34.0,3.0,330.0,True,True,True,False,False
O'Doughs® Pumpernickel Bagel,Top of Lenoir,STRESS LESS CABINET,200.0,6.0,38.0,5.0,350.0,True,True,True,False,False
Schar Ciabatta Roll,Top of Lenoir,STRESS LESS CABINET,120.0,1.5,25.0,2.0,180.0,True,True,True,False,False
Udi's® Blueberry Muffin,Top of Lenoir,STRESS LESS CABINET,260.0,9.0,40.0,3.0,260.0,False,True,True,False,False
Udi's® Everything Bagel,Top of Lenoir,STRESS LESS CABINET,240.0,8.0,37.0,5.0,390.0,False,True,True,False,False
Udi's® Gluten-Free Hamburger Bun,Top of Lenoir,STRESS LESS CABINET,190.0,5.0,32.0,5.0,360.0,False,True,True,False,False
Udi's® Multigrain Bread,Top of Lenoir,STRESS LESS CABINET,140.0,5.0,23.0,2.0,260.0,False,True,True,False,False
Udi's® Snickerdoodle Cookie,Top of Lenoir,STRESS LESS CABINET,220.0,8.0,36.0,1.0,150.0,False,True,True,False,False
Udi's® White Bread,Top of Lenoir,STRESS LESS CABINET,140.0,5.0,24.0,2.0,270.0,False,True,True,False,False
Red Plate Foods® Ginger Cookies,Top of Lenoir,STRESS LESS CABINET,160.0,6.0,23.0,1.0,160.0,True,True,True,True,False
Red Plate Foods® Oatmeal Cookies,Top of Lenoir,STRESS LESS CABINET,150.0,5.0,25.0,1.0,100.0,True,True,True,True,False
Red Plate Foods® Chocolate Chip Cookie,Top of Lenoir,STRESS LESS CABINET,160.0,7.0,23.0,1.0,140.0,True,True,True,True,False
Red Plate Foods® Double Chocolate Chip Cookies,Top of Lenoir,STRESS LESS CABINET,160.0,7.0,22.0,2.0,110.0,True,True,True,True,False
Red Plate Foods® Dark Chocolate Muffins,Top of Lenoir,STRESS LESS CABINET,350.0,12.0,61.0,4.0,410.0,True,True,True,False,False
Red Plate Foods® Coffee Cake Muffin,Top of Lenoir,STRESS LESS CABINET,430.0,17.0,65.0,4.0,430.0,True,True,True,False,False
Red Plate Foods® Lemon Blueberry Muffin,Top of Lenoir,STRESS LESS CABINET,370.0,15.0,58.0,2.0,320.0,True,True,True,True,False
Southern Unsweet Tea,Top of Lenoir,BEVERAGES,0.0,0.0,0.0,0.0,15.0,True,True,True,False,False
Southern Sweet Tea,Top of Lenoir,BEVERAGES,130.0,0.0,32.0,0.0,15.0,True,True,True,False,False
SoBe® Lifewater Pomegranate,Top of Lenoir,BEVERAGES,0.0,0.0,0.0,0.0,45.0,True,True,True,False,False
Maola® Skim Milk,Top of Lenoir,BEVERAGES,80.0,0.0,13.0,8.0,125.0,False,True,True,False,False
Maola® 2% Reduced Fat Milk,Top of Lenoir,BEVERAGES,120.0,5.0,12.0,8.0,125.0,False,True,True,False,False
Maola® 1% Chocolate Milk,Top of Lenoir,BEVERAGES,150.0,2.5,26.0,8.0,230.0,False,True,True,False,False
Larry's® Decaf Coffee,Top of Lenoir,BEVERAGES,0.0,0.0,0.0,0.0,0.0,True,True,True,False,True
Larry's® Coffee,Top of Lenoir,BEVERAGES,0.0,0.0,0.0,0.0,0.0,True,True,True,False,True
100% Cranberry Juice,Top of Lenoir,BEVERAGES,140.0,0.0,36.0,0.0,35.0,True,True,True,False,False
100% Apple Juice,Top of Lenoir,BEVERAGES,110.0,0.0,28.0,0.0,35.0,True,True,True,False,False
100% Orange Juice,Top of Lenoir,BEVERAGES,120.0,0.0,31.0,0.0,35.0,True,True,True,False,False
Strawberry Kiwi Juice,Top of Lenoir,BEVERAGES,120.0,0.0,30.0,0.0,40.0,True,True,True,False,False
Dr. Pepper®,Top of Lenoir,BEVERAGES,140.0,0.0,39.0,0.0,45.0,True,True,True,False,False
Diet Dr. Pepper®,Top of Lenoir,BEVERAGES,0.0,0.0,0.0,0.0,70.0,True,True,True,False,False
Diet Mountain Dew®,Top of Lenoir,BEVERAGES,0.0,0.0,0.0,0.0,55.0,True,True,True,False,False
Mountain Dew®,Top of Lenoir,BEVERAGES,170.0,0.0,44.0,0.0,50.0,True,True,True,False,False
Gatorade® Fruit Punch,Top of Lenoir,BEVERAGES,80.0,0.0,22.0,0.0,170.0,True,True,True,False,False
Gatorade® Orange,Top of Lenoir,BEVERAGES,80.0,0.0,22.0,0.0,170.0,True,True,True,False,False
Starry,Top of Lenoir,BEVERAGES,150.0,0.0,39.0,0.0,35.0,True,True,True,False,False
Pepsi® Zero Sugar,Top of Lenoir,BEVERAGES,0.0,0.0,0.0,0.0,65.0,True,True,True,False,False
Pepsi®,Top of Lenoir,BEVERAGES,150.0,0.0,41.0,0.0,30.0,True,True,True,False,False
Root Beer,Top of Lenoir,BEVERAGES,140.0,0.0,39.0,0.0,45.0,True,True,True,False,False
Sunkist® Orange,Top of Lenoir,BEVERAGES,160.0,0.0,44.0,0.0,45.0,True,True,True,False,False
Cheerwine®,Top of Lenoir,BEVERAGES,150.0,0.0,42.0,0.0,25.0,True,True,True,False,False
Schweppes® Ginger Ale,Top of Lenoir,BEVERAGES,130.0,0.0,33.0,0.0,50.0,True,True,True,False,False
Tropicana® Lemonade,Top of Lenoir,BEVERAGES,150.0,0.0,40.0,0.0,150.0,True,True,True,False,False
Tropicana® Fruit Punch,Top of Lenoir,BEVERAGES,170.0,0.0,45.0,0.0,35.0,True,True,True,False,False
Honey Mustard,Top of Lenoir,CONDIMENTS AND SPREADS,70.0,6.0,3.0,0.0,75.0,False,True,True,False,False
Mayonnaise,Top of Lenoir,CONDIMENTS AND SPREADS,100.0,11.0,0.0,0.0,85.0,False,True,True,False,False
Ketchup,Top of Lenoir,CONDIMENTS AND SPREADS,20.0,0.0,5.0,0.0,180.0,True,True,True,False,False
Sriracha Sauce,Top of Lenoir,CONDIMENTS AND SPREADS,5.0,0.0,1.0,0.0,105.0,True,True,True,False,False
BBQ Sauce,Top of Lenoir,CONDIMENTS AND SPREADS,70.0,0.0,18.0,0.0,290.0,True,True,True,False,False
Texas Pete® Hot Sauce,Top of Lenoir,CONDIMENTS AND SPREADS,0.0,0.0,0.0,0.0,115.0,True,True,True,False,False
Yellow Mustard,Top of Lenoir,CONDIMENTS AND SPREADS,0.0,0.0,3.0,0.0,160.0,True,True,True,False,False
Original Creamer,Top of Lenoir,CONDIMENTS AND SPREADS,20.0,1.0,2.0,0.0,5.0,False,True,True,False,False
Strawberry Cream Cheese,Top of Lenoir,CONDIMENTS AND SPREADS,90.0,8.0,5.0,1.0,120.0,False,True,True,False,False
Housemade Veggie Cream Cheese,Top of Lenoir,CONDIMENTS AND SPREADS,70.0,8.0,0.0,0.0,120.0,False,True,True,False,False
Raspberry Preserves,Top of Lenoir,CONDIMENTS AND SPREADS,50.0,0.0,13.0,0.0,0.0,True,True,True,True,False
Stawberry Preserves,Top of Lenoir,CONDIMENTS AND SPREADS,50.0,0.0,13.0,0.0,0.0,True,True,True,True,False
Smart Balance,Top of Lenoir,CONDIMENTS AND SPREADS,100.0,11.0,0.0,0.0,90.0,True,True,True,False,False
Plain Cream Cheese,Top of Lenoir,CONDIMENTS AND SPREADS,50.0,4.5,2.0,1.0,90.0,False,True,True,False,False
Grape Jelly,Top of Lenoir,CONDIMENTS AND SPREADS,35.0,0.0,9.0,0.0,0.0,True,True,True,False,False
Sunflower Butter,Top of Lenoir,CONDIMENTS AND SPREADS,200.0,17.0,7.0,22.0,120.0,True,True,True,False,False
Hazelnut Creamer,Top of Lenoir,CONDIMENTS AND SPREADS,35.0,1.5,5.0,0.0,5.0,False,True,True,False,False
French Vanilla Creamer,Top of Lenoir,CONDIMENTS AND SPREADS,35.0,1.5,5.0,0.0,5.0,False,True,True,False,False
